Date,Adj Close
2008-03-31,37.35
2008-04-01,40.87
2008-04-02,40.54
2008-04-03,40.57
2008-04-04,39.95
2008-04-07,39.92
2008-04-08,39.33
2008-04-09,38.83
2008-04-10,38.45
2008-04-11,37.28
2008-04-14,36.38
2008-04-15,36.92
2008-04-16,39.41
2008-04-17,39.55
2008-04-18,40.11
2008-04-21,39.65
2008-04-22,40.02
2008-04-23,39.58
2008-04-24,41.18
2008-04-25,41.89
2008-04-28,41.5
2008-04-29,41.27
2008-04-30,41.77
2008-05-01,43.17
2008-05-02,42.66
2008-05-05,42.08
2008-05-06,42.25
2008-05-07,40.82
2008-05-08,40.37
2008-05-09,40.82
2008-05-12,41.41
2008-05-13,39.87
2008-05-14,40.25
2008-05-15,41.22
2008-05-16,40.79
2008-05-19,40.32
2008-05-20,38.31
2008-05-21,37.19
2008-05-22,37.74
2008-05-23,37.1
2008-05-27,37.7
2008-05-28,37.57
2008-05-29,38.19
2008-05-30,37.7
2008-06-02,36.95
2008-06-03,36.72
2008-06-04,36.49
2008-06-05,36.91
2008-06-06,35.14
2008-06-09,32.88
2008-06-10,33.57
2008-06-11,32.55
2008-06-12,33.32
2008-06-13,34.7
2008-06-16,35.01
2008-06-17,34.22
2008-06-18,33.96
2008-06-19,33.88
2008-06-20,33.19
2008-06-23,32.32
2008-06-24,33.07
2008-06-25,33.23
2008-06-26,31.84
2008-06-27,30.73
2008-06-30,30.08
2008-07-01,30.16
2008-07-02,30.67
2008-07-03,31.3
2008-07-07,30.17
2008-07-08,31.71
2008-07-09,30.39
2008-07-10,30.59
2008-07-11,29.39
2008-07-14,28.09
2008-07-15,27.5
2008-07-16,31.86
2008-07-17,36.17
2008-07-18,35.48
2008-07-21,34.26
2008-07-22,36.22
2008-07-23,37.2
2008-07-24,34.7
2008-07-25,35.03
2008-07-28,33.38
2008-07-29,36.12
2008-07-30,36.85
2008-07-31,36.02
2008-08-01,36.13
2008-08-04,35.58
2008-08-05,37.13
2008-08-06,36.69
2008-08-07,35.29
2008-08-08,36.41
2008-08-11,37.13
2008-08-12,33.61
2008-08-13,32.72
2008-08-14,33.52
2008-08-15,33.75
2008-08-18,32.57
2008-08-19,31.54
2008-08-20,32.8
2008-08-21,32.14
2008-08-22,33.39
2008-08-25,32.03
2008-08-26,32.45
2008-08-27,32.92
2008-08-28,34.47
2008-08-29,34.12
2008-09-02,34.56
2008-09-03,35.2
2008-09-04,33.61
2008-09-05,35.1
2008-09-08,36.83
2008-09-09,34.99
2008-09-10,34.93
2008-09-11,36.92
2008-09-12,36.5
2008-09-15,32.8
2008-09-16,36.11
2008-09-17,31.71
2008-09-18,35.72
2008-09-19,41.71
2008-09-22,36.17
2008-09-23,35.95
2008-09-24,35.9
2008-09-25,38.53
2008-09-26,42.76
2008-09-29,36.34
2008-09-30,41.4
2008-10-01,43.99
2008-10-02,44.53
2008-10-03,41.0
2008-10-06,39.3
2008-10-07,35.12
2008-10-08,35.11
2008-10-09,32.77
2008-10-10,37.2
2008-10-13,37.51
2008-10-14,36.37
2008-10-15,34.38
2008-10-16,36.17
2008-10-17,35.13
2008-10-20,36.32
2008-10-21,35.5
2008-10-22,33.2
2008-10-23,33.81
2008-10-24,31.65
2008-10-27,30.37
2008-10-28,33.59
2008-10-29,31.9
2008-10-30,33.61
2008-10-31,36.85
2008-11-03,36.38
2008-11-04,37.67
2008-11-05,35.03
2008-11-06,34.18
2008-11-07,33.72
2008-11-10,32.52
2008-11-11,32.47
2008-11-12,30.88
2008-11-13,33.22
2008-11-14,30.79
2008-11-17,29.27
2008-11-18,28.71
2008-11-19,25.43
2008-11-20,20.89
2008-11-21,20.3
2008-11-24,24.64
2008-11-25,26.59
2008-11-26,27.35
2008-11-28,28.28
2008-12-01,23.33
2008-12-02,25.49
2008-12-03,27.02
2008-12-04,27.76
2008-12-05,29.79
2008-12-08,32.6
2008-12-09,30.34
2008-12-10,29.94
2008-12-11,26.75
2008-12-12,27.64
2008-12-15,25.57
2008-12-16,28.9
2008-12-17,28.46
2008-12-18,26.99
2008-12-19,27.08
2008-12-22,26.64
2008-12-23,26.0
2008-12-24,26.66
2008-12-26,26.62
2008-12-29,26.6
2008-12-30,27.7
2008-12-31,28.17
2009-01-02,28.35
2009-01-05,26.45
2009-01-06,27.02
2009-01-07,25.4
2009-01-08,24.61
2009-01-09,23.48
2009-01-12,22.52
2009-01-13,23.83
2009-01-14,23.43
2009-01-15,22.01
2009-01-16,20.63
2009-01-20,16.36
2009-01-21,20.46
2009-01-22,20.89
2009-01-23,21.95
2009-01-26,22.15
