Date,Adj Close
2008-03-31,21.53
2008-04-01,23.08
2008-04-02,23.0
2008-04-03,21.69
2008-04-04,20.95
2008-04-07,20.94
2008-04-08,20.65
2008-04-09,19.88
2008-04-10,20.77
2008-04-11,20.19
2008-04-14,19.21
2008-04-15,18.85
2008-04-16,19.62
2008-04-17,18.92
2008-04-18,18.64
2008-04-21,18.19
2008-04-22,18.28
2008-04-23,18.49
2008-04-24,19.12
2008-04-25,19.06
2008-04-28,18.13
2008-04-29,17.96
2008-04-30,17.52
2008-05-01,18.55
2008-05-02,18.18
2008-05-05,17.69
2008-05-06,17.27
2008-05-07,16.46
2008-05-08,15.85
2008-05-09,16.04
2008-05-12,15.55
2008-05-13,15.3
2008-05-14,14.82
2008-05-15,14.83
2008-05-16,14.72
2008-05-19,14.6
2008-05-20,14.48
2008-05-21,14.14
2008-05-22,14.43
2008-05-23,14.37
2008-05-27,14.25
2008-05-28,13.98
2008-05-29,14.01
2008-05-30,14.0
2008-06-02,13.84
2008-06-03,13.37
2008-06-04,13.73
2008-06-05,13.91
2008-06-06,13.13
2008-06-09,12.37
2008-06-10,11.93
2008-06-11,11.76
2008-06-12,11.62
2008-06-13,11.27
2008-06-16,11.87
2008-06-17,10.91
2008-06-18,10.65
2008-06-19,9.78
2008-06-20,9.4
2008-06-23,9.38
2008-06-24,8.84
2008-06-25,7.93
2008-06-26,8.47
2008-06-27,8.61
2008-06-30,8.41
2008-07-01,8.74
2008-07-02,8.88
2008-07-03,9.0
2008-07-07,8.27
2008-07-08,10.05
2008-07-09,8.66
2008-07-10,8.69
2008-07-11,8.61
2008-07-14,7.92
2008-07-15,8.38
2008-07-16,9.19
2008-07-17,10.19
2008-07-18,9.87
2008-07-21,8.32
2008-07-22,9.31
2008-07-23,9.36
2008-07-24,8.81
2008-07-25,9.07
2008-07-28,8.52
2008-07-29,9.51
2008-07-30,9.36
2008-07-31,9.28
2008-08-01,9.67
2008-08-04,9.83
2008-08-05,10.36
2008-08-06,10.5
2008-08-07,10.26
2008-08-08,11.0
2008-08-11,12.95
2008-08-12,11.34
2008-08-13,11.36
2008-08-14,11.94
2008-08-15,11.91
2008-08-18,11.19
2008-08-19,10.89
2008-08-20,11.04
2008-08-21,11.58
2008-08-22,11.44
2008-08-25,11.36
2008-08-26,11.75
2008-08-27,11.79
2008-08-28,12.19
2008-08-29,11.88
2008-09-02,12.85
2008-09-03,14.22
2008-09-04,13.56
2008-09-05,13.57
2008-09-08,14.48
2008-09-09,13.69
2008-09-10,13.37
2008-09-11,12.77
2008-09-12,12.38
2008-09-15,11.31
2008-09-16,11.87
2008-09-17,12.68
2008-09-18,13.62
2008-09-19,18.04
2008-09-22,16.46
2008-09-23,16.58
2008-09-24,16.44
2008-09-25,16.73
2008-09-26,16.51
2008-09-29,14.89
2008-09-30,15.43
2008-10-01,15.51
2008-10-02,15.08
2008-10-03,15.08
2008-10-06,15.24
2008-10-07,13.61
2008-10-08,13.01
2008-10-09,10.09
2008-10-10,12.36
2008-10-13,13.9
2008-10-14,13.13
2008-10-15,11.1
2008-10-16,12.85
2008-10-17,11.73
2008-10-20,11.96
2008-10-21,11.9
2008-10-22,11.63
2008-10-23,11.14
2008-10-24,10.03
2008-10-27,8.37
2008-10-28,9.26
2008-10-29,9.15
2008-10-30,9.64
2008-10-31,10.18
2008-11-03,9.76
2008-11-04,9.64
2008-11-05,8.76
2008-11-06,8.29
2008-11-07,8.28
2008-11-10,7.99
2008-11-11,7.85
2008-11-12,7.09
2008-11-13,8.07
2008-11-14,7.36
2008-11-17,7.37
2008-11-18,6.91
2008-11-19,6.14
2008-11-20,5.92
2008-11-21,6.26
2008-11-24,6.85
2008-11-25,6.05
2008-11-26,6.52
2008-11-28,6.53
2008-12-01,5.4
2008-12-02,5.81
2008-12-03,6.25
2008-12-04,6.08
2008-12-05,6.43
2008-12-08,6.49
2008-12-09,6.12
2008-12-10,6.33
2008-12-11,5.37
2008-12-12,5.91
2008-12-15,5.52
2008-12-16,6.11
2008-12-17,6.02
2008-12-18,6.19
