Date,Adj Close
2008-03-31,10.69
2008-04-01,10.85
2008-04-02,10.81
2008-04-03,10.69
2008-04-04,10.49
2008-04-07,10.58
2008-04-08,10.83
2008-04-09,10.62
2008-04-10,10.7
2008-04-11,10.9
2008-04-14,11.29
2008-04-15,11.35
2008-04-16,11.78
2008-04-17,11.66
2008-04-18,11.68
2008-04-21,11.55
2008-04-22,11.33
2008-04-23,11.21
2008-04-24,11.55
2008-04-25,11.55
2008-04-28,11.49
2008-04-29,11.26
2008-04-30,11.21
2008-05-01,11.44
2008-05-02,11.08
2008-05-05,11.06
2008-05-06,10.94
2008-05-07,10.77
2008-05-08,10.7
2008-05-09,10.71
2008-05-12,11.03
2008-05-13,11.27
2008-05-14,11.4
2008-05-15,11.44
2008-05-16,11.39
2008-05-19,11.52
2008-05-20,11.23
2008-05-21,11.16
2008-05-22,11.61
2008-05-23,11.56
2008-05-27,11.69
2008-05-28,11.37
2008-05-29,11.22
2008-05-30,10.95
2008-06-02,10.73
2008-06-03,10.76
2008-06-04,10.77
2008-06-05,10.83
2008-06-06,10.47
2008-06-09,10.38
2008-06-10,10.58
2008-06-11,10.34
2008-06-12,10.28
2008-06-13,9.87
2008-06-16,9.43
2008-06-17,8.55
2008-06-18,7.78
2008-06-19,7.1
2008-06-20,8.04
2008-06-23,7.41
2008-06-24,7.34
2008-06-25,7.54
2008-06-26,7.57
2008-06-27,6.94
2008-06-30,6.68
2008-07-01,6.89
2008-07-02,7.0
2008-07-03,7.17
2008-07-07,6.36
2008-07-08,7.13
2008-07-09,7.22
2008-07-10,7.37
2008-07-11,8.1
2008-07-14,7.73
2008-07-15,7.58
2008-07-16,7.74
2008-07-17,8.67
2008-07-18,8.57
2008-07-21,8.69
2008-07-22,9.03
2008-07-23,9.3
2008-07-24,8.99
2008-07-25,9.12
2008-07-28,8.86
2008-07-29,9.26
2008-07-30,9.34
2008-07-31,9.27
2008-08-01,9.31
2008-08-04,9.32
2008-08-05,9.35
2008-08-06,9.64
2008-08-07,9.53
2008-08-08,9.75
2008-08-11,10.69
2008-08-12,10.6
2008-08-13,10.48
2008-08-14,10.6
2008-08-15,10.57
2008-08-18,10.21
2008-08-19,9.94
2008-08-20,9.33
2008-08-21,9.22
2008-08-22,9.39
2008-08-25,9.53
2008-08-26,9.7
2008-08-27,9.74
2008-08-28,10.07
2008-08-29,10.12
2008-09-02,10.95
2008-09-03,11.57
2008-09-04,11.31
2008-09-05,11.41
2008-09-08,12.26
2008-09-09,12.12
2008-09-10,12.12
2008-09-11,11.92
2008-09-12,12.32
2008-09-15,12.31
2008-09-16,12.54
2008-09-17,12.32
2008-09-18,14.0
2008-09-19,13.98
2008-09-22,12.53
2008-09-23,11.94
2008-09-24,11.75
2008-09-25,11.74
2008-09-26,11.76
2008-09-29,11.31
2008-09-30,12.21
2008-10-01,12.45
2008-10-02,12.56
2008-10-03,12.64
2008-10-06,12.71
2008-10-07,12.07
2008-10-08,11.0
2008-10-09,9.43
2008-10-10,10.75
2008-10-13,11.32
2008-10-14,11.89
2008-10-15,12.5
2008-10-16,13.57
2008-10-17,12.92
2008-10-20,13.12
2008-10-21,12.92
2008-10-22,12.92
2008-10-23,12.67
2008-10-24,12.84
2008-10-27,12.87
2008-10-28,13.31
2008-10-29,13.55
2008-10-30,13.84
2008-10-31,13.82
2008-11-03,13.77
2008-11-04,14.7
2008-11-05,14.71
2008-11-06,14.05
2008-11-07,14.2
2008-11-10,14.1
2008-11-11,13.77
2008-11-12,13.37
2008-11-13,13.92
2008-11-14,12.76
2008-11-17,12.28
2008-11-18,11.81
2008-11-19,11.55
2008-11-20,11.55
2008-11-21,11.63
2008-11-24,11.98
2008-11-25,12.43
2008-11-26,12.65
2008-11-28,12.37
2008-12-01,11.1
2008-12-02,11.77
2008-12-03,11.9
2008-12-04,11.69
2008-12-05,12.63
2008-12-08,12.75
2008-12-09,12.55
2008-12-10,12.39
2008-12-11,11.62
2008-12-12,12.28
2008-12-15,11.78
2008-12-16,12.21
2008-12-17,12.57
2008-12-18,12.29
2008-12-19,11.91
2008-12-22,12.09
2008-12-23,12.08
2008-12-24,12.08
2008-12-26,12.39
2008-12-29,12.13
2008-12-30,12.73
2008-12-31,13.47
2009-01-02,13.4
2009-01-05,13.31
2009-01-06,13.3
2009-01-07,12.41
2009-01-08,11.73
2009-01-09,10.71
2009-01-12,10.63
2009-01-13,10.77
2009-01-14,10.59
2009-01-15,10.41
2009-01-16,9.75
2009-01-20,9.28
2009-01-21,10.29
2009-01-22,10.03
2009-01-23,9.75
2009-01-26,9.72
2009-01-27,9.99
2009-01-28,10.8
2009-01-29,10.25
2009-01-30,10.37
2009-02-02,10.4
2009-02-03,10.07
2009-02-04,10.0
2009-02-05,10.52
2009-02-06,10.91
2009-02-09,10.66
2009-02-10,9.98
2009-02-11,10.15
2009-02-12,10.41
2009-02-13,10.14
2009-02-17,9.73
2009-02-18,9.2
2009-02-19,8.89
2009-02-20,8.6
2009-02-23,8.68
2009-02-24,8.97
2009-02-25,8.91
2009-02-26,9.47
2009-02-27,9.49
2009-03-02,9.54
2009-03-03,9.13
2009-03-04,9.0
2009-03-05,8.27
2009-03-06,7.79
2009-03-09,7.84
2009-03-10,8.56
2009-03-11,8.67
2009-03-12,9.78
2009-03-13,9.75
2009-03-16,9.75
2009-03-17,9.65
2009-03-18,10.22
2009-03-19,10.21
2009-03-20,9.73
2009-03-23,10.51
2009-03-24,10.04
2009-03-25,10.17
2009-03-26,10.6
2009-03-27,10.41
2009-03-30,10.05
2009-03-31,10.55
2009-04-01,10.88
2009-04-02,10.83
2009-04-03,10.66
2009-04-06,10.56
2009-04-07,9.81
2009-04-08,9.62
2009-04-09,10.25
2009-04-13,10.9
2009-04-14,11.51
2009-04-15,11.55
2009-04-16,11.54
2009-04-17,11.65
2009-04-20,11.13
2009-04-21,11.49
2009-04-22,11.44
2009-04-23,10.93
2009-04-24,11.22
2009-04-27,11.05
2009-04-28,11.14
2009-04-29,11.77
2009-04-30,11.41
2009-05-01,11.25
2009-05-04,11.45
2009-05-05,10.74
2009-05-06,10.98
2009-05-07,11.46
2009-05-08,11.36
2009-05-11,11.26
2009-05-12,11.0
2009-05-13,10.68
2009-05-14,10.81
2009-05-15,10.81
2009-05-18,11.56
2009-05-19,11.91
2009-05-20,11.79
2009-05-21,11.72
2009-05-22,12.07
2009-05-26,11.75
2009-05-27,11.69
2009-05-28,11.72
2009-05-29,11.62
2009-06-01,11.44
2009-06-02,10.7
2009-06-03,10.62
2009-06-04,10.61
2009-06-05,10.25
2009-06-08,9.82
2009-06-09,9.78
2009-06-10,9.56
2009-06-11,9.67
2009-06-12,9.7
2009-06-15,9.58
2009-06-16,9.35
2009-06-17,9.16
2009-06-18,9.3
2009-06-19,9.43
2009-06-22,9.39
2009-06-23,9.45
2009-06-24,9.45
2009-06-25,9.75
2009-06-26,9.96
2009-06-29,9.86
2009-06-30,9.94
2009-07-01,9.88
2009-07-02,9.74
2009-07-06,9.86
2009-07-07,9.9
2009-07-08,10.06
2009-07-09,10.16
2009-07-10,10.31
2009-07-13,10.81
2009-07-14,10.59
2009-07-15,11.08
2009-07-16,11.11
2009-07-17,11.26
2009-07-20,11.35
2009-07-21,10.83
2009-07-22,10.79
2009-07-23,11.18
2009-07-24,11.25
2009-07-27,11.44
2009-07-28,11.77
2009-07-29,11.65
2009-07-30,11.63
2009-07-31,11.68
2009-08-03,11.96
2009-08-04,11.95
2009-08-05,11.81
2009-08-06,12.09
2009-08-07,12.36
2009-08-10,12.31
2009-08-11,11.68
2009-08-12,11.73
2009-08-13,11.71
2009-08-14,11.44
2009-08-17,11.07
2009-08-18,10.86
2009-08-19,11.12
2009-08-20,11.42
2009-08-21,11.83
2009-08-24,11.42
2009-08-25,11.32
2009-08-26,11.4
2009-08-27,11.21
2009-08-28,11.19
2009-08-31,11.52
2009-09-01,11.3
2009-09-02,11.21
2009-09-03,11.25
2009-09-04,11.47
2009-09-08,11.37
2009-09-09,11.56
2009-09-10,11.58
2009-09-11,11.55
2009-09-14,11.41
2009-09-15,11.66
2009-09-16,12.01
2009-09-17,11.85
2009-09-18,11.91
2009-09-21,11.64
2009-09-22,11.71
2009-09-23,11.7
2009-09-24,11.61
2009-09-25,11.71
2009-09-28,12.11
2009-09-29,12.11
2009-09-30,12.26
2009-10-01,11.83
2009-10-02,11.66
2009-10-05,11.75
2009-10-06,11.84
2009-10-07,11.93
2009-10-08,11.84
2009-10-09,12.21
2009-10-12,12.45
2009-10-13,12.49
2009-10-14,12.18
2009-10-15,11.5
2009-10-16,11.28
2009-10-19,11.35
2009-10-20,11.25
2009-10-21,11.06
2009-10-22,11.2
2009-10-23,10.97
2009-10-26,11.08
2009-10-27,10.81
2009-10-28,10.63
2009-10-29,10.57
2009-10-30,10.57
2009-11-02,10.48
2009-11-03,10.61
2009-11-04,10.39
2009-11-05,11.68
2009-11-06,11.81
2009-11-09,11.82
2009-11-10,11.76
2009-11-11,11.99
2009-11-12,11.76
2009-11-13,11.6
2009-11-16,12.2
2009-11-17,12.32
2009-11-18,12.77
2009-11-19,12.28
2009-11-20,12.33
2009-11-23,12.52
2009-11-24,12.52
2009-11-25,12.44
2009-11-27,12.22
2009-11-30,12.35
2009-12-01,12.07
2009-12-02,12.27
2009-12-03,11.92
2009-12-04,12.18
2009-12-07,12.25
2009-12-08,12.36
2009-12-09,12.33
2009-12-10,12.32
2009-12-11,12.43
2009-12-14,12.79
2009-12-15,12.64
2009-12-16,12.6
2009-12-17,12.62
2009-12-18,13.01
2009-12-21,13.05
2009-12-22,13.28
2009-12-23,13.68
2009-12-24,13.76
2009-12-28,13.83
2009-12-29,13.83
2009-12-30,13.46
2009-12-31,13.6
2010-01-04,13.74
2010-01-05,13.58
2010-01-06,13.31
2010-01-07,13.77
2010-01-08,13.89
2010-01-11,13.78
2010-01-12,13.72
2010-01-13,13.93
2010-01-14,14.37
2010-01-15,13.82
2010-01-19,14.09
2010-01-20,14.09
2010-01-21,14.22
2010-01-22,14.19
2010-01-25,13.83
2010-01-26,13.6
2010-01-27,13.81
2010-01-28,13.75
2010-01-29,13.83
2010-02-01,13.81
2010-02-02,13.77
2010-02-03,13.7
2010-02-04,13.58
2010-02-05,13.86
2010-02-08,13.6
2010-02-09,13.72
2010-02-10,13.7
2010-02-11,13.61
2010-02-12,13.65
2010-02-16,13.69
2010-02-17,13.54
2010-02-18,13.76
2010-02-19,13.82
2010-02-22,13.96
2010-02-23,14.15
2010-02-24,14.29
2010-02-25,14.38
2010-02-26,14.34
2010-03-01,14.92
2010-03-02,15.1
2010-03-03,15.23
2010-03-04,15.3
2010-03-05,15.58
2010-03-08,15.38
2010-03-09,15.02
2010-03-10,15.21
2010-03-11,15.38
2010-03-12,15.48
2010-03-15,15.57
2010-03-16,15.62
2010-03-17,16.1
2010-03-18,15.78
2010-03-19,16.08
2010-03-22,16.05
2010-03-23,16.06
2010-03-24,15.82
2010-03-25,15.76
2010-03-26,15.72
2010-03-29,16.22
2010-03-30,16.59
2010-03-31,16.42
2010-04-01,16.31
2010-04-05,16.57
2010-04-06,17.29
2010-04-07,17.33
2010-04-08,17.28
2010-04-09,17.26
2010-04-12,17.36
2010-04-13,17.36
2010-04-14,17.67
2010-04-15,17.69
2010-04-16,17.59
2010-04-19,17.55
2010-04-20,17.79
2010-04-21,17.95
2010-04-22,17.93
2010-04-23,18.1
2010-04-26,17.41
2010-04-27,17.17
2010-04-28,16.91
2010-04-29,18.51
2010-04-30,18.03
2010-05-03,18.04
2010-05-04,17.54
2010-05-05,17.41
2010-05-06,16.71
2010-05-07,16.63
2010-05-10,17.27
2010-05-11,17.29
2010-05-12,17.33
2010-05-13,17.68
2010-05-14,17.44
2010-05-17,17.43
2010-05-18,17.3
2010-05-19,17.25
2010-05-20,16.43
2010-05-21,16.62
2010-05-24,16.21
2010-05-25,16.03
2010-05-26,16.04
2010-05-27,16.65
2010-05-28,16.54
2010-06-01,16.3
2010-06-02,16.8
2010-06-03,16.83
2010-06-04,16.02
2010-06-07,15.77
2010-06-08,16.12
2010-06-09,16.17
2010-06-10,16.64
2010-06-11,16.94
2010-06-14,17.17
2010-06-15,17.23
2010-06-16,17.33
2010-06-17,17.2
2010-06-18,17.21
2010-06-21,16.95
2010-06-22,16.79
2010-06-23,16.93
2010-06-24,16.98
2010-06-25,17.2
2010-06-28,17.3
2010-06-29,16.8
2010-06-30,16.62
2010-07-01,16.32
2010-07-02,16.13
2010-07-06,16.28
2010-07-07,16.8
2010-07-08,16.82
2010-07-09,17.1
2010-07-12,17.36
2010-07-13,17.81
2010-07-14,17.86
2010-07-15,17.59
2010-07-16,16.84
2010-07-19,17.25
2010-07-20,17.37
2010-07-21,16.86
2010-07-22,17.4
2010-07-23,17.83
2010-07-26,18.13
2010-07-27,18.2
2010-07-28,17.63
2010-07-29,17.73
2010-07-30,17.62
2010-08-02,17.84
2010-08-03,17.87
