Date,Open,High,Low,Close,Volume,Adj Close
2008-03-31,23.51,24.42,23.26,23.9,184600,10.69
2008-04-01,24.18,24.33,23.76,24.25,204000,10.85
2008-04-02,24.2,24.63,23.9,24.17,234800,10.81
2008-04-03,24.0,24.41,23.79,23.89,172800,10.69
2008-04-04,23.86,24.02,23.24,23.44,126000,10.49
2008-04-07,23.51,23.77,23.31,23.66,141600,10.58
2008-04-08,23.42,24.33,23.06,24.21,196200,10.83
2008-04-09,24.45,24.45,23.6,23.75,244400,10.62
2008-04-10,23.89,23.91,23.44,23.91,196600,10.7
2008-04-11,23.37,24.57,23.25,24.36,273400,10.9
2008-04-14,24.39,25.65,24.14,25.23,390000,11.29
2008-04-15,25.35,25.56,25.07,25.38,126800,11.35
2008-04-16,25.72,26.36,25.48,26.33,396200,11.78
2008-04-17,26.08,26.32,25.82,26.07,224800,11.66
2008-04-18,26.52,26.75,26.1,26.11,209800,11.68
2008-04-21,26.05,26.28,25.54,25.81,238800,11.55
2008-04-22,25.64,25.75,24.85,25.33,171400,11.33
2008-04-23,25.39,25.64,24.5,24.94,222200,11.21
2008-04-24,24.99,25.77,24.09,25.69,96000,11.55
2008-04-25,25.8,25.8,25.29,25.69,611600,11.55
2008-04-28,25.69,25.79,25.25,25.56,132400,11.49
2008-04-29,25.62,25.62,25.0,25.06,104200,11.26
2008-04-30,25.16,25.37,24.78,24.95,119800,11.21
2008-05-01,24.91,25.74,24.91,25.45,347400,11.44
2008-05-02,25.75,25.75,24.52,24.65,103800,11.08
2008-05-05,24.73,24.73,24.11,24.61,311400,11.06
2008-05-06,24.51,24.64,24.01,24.35,171400,10.94
2008-05-07,24.37,25.18,23.9,23.96,98000,10.77
2008-05-08,23.96,24.07,23.78,23.81,100600,10.7
2008-05-09,23.61,23.88,23.51,23.83,55800,10.71
2008-05-12,23.9,24.55,23.65,24.55,87400,11.03
2008-05-13,24.62,25.1,24.03,25.08,377400,11.27
2008-05-14,25.1,26.49,24.61,25.37,377600,11.4
2008-05-15,25.33,25.53,24.65,25.46,110600,11.44
2008-05-16,25.62,26.12,25.0,25.33,230400,11.39
2008-05-19,25.27,25.69,24.86,25.64,356000,11.52
2008-05-20,25.51,25.51,24.57,24.98,260600,11.23
2008-05-21,25.04,25.28,24.66,24.84,101200,11.16
2008-05-22,24.98,26.0,24.7,25.84,226000,11.61
2008-05-23,25.86,25.93,24.85,25.72,139000,11.56
2008-05-27,25.8,26.0,25.59,26.0,173200,11.69
2008-05-28,26.0,26.0,25.08,25.3,173000,11.37
2008-05-29,25.18,25.47,24.74,24.97,164600,11.22
2008-05-30,25.04,25.04,24.34,24.37,184200,10.95
2008-06-02,24.31,24.42,23.16,23.88,273000,10.73
2008-06-03,24.01,24.02,23.69,23.94,99600,10.76
2008-06-04,23.8,24.58,23.58,23.96,127800,10.77
2008-06-05,23.94,24.17,23.8,24.1,193000,10.83
2008-06-06,23.91,24.2,22.94,23.3,269800,10.47
2008-06-09,23.3,23.78,23.02,23.09,205200,10.38
2008-06-10,22.83,23.65,22.62,23.55,224600,10.58
2008-06-11,23.44,23.44,23.0,23.0,147400,10.34
2008-06-12,23.23,23.3,22.71,22.88,240400,10.28
2008-06-13,23.11,23.11,21.4,21.95,266400,9.87
2008-06-16,21.82,21.82,20.49,20.97,577400,9.43
2008-06-17,20.98,20.98,18.87,19.02,1009000,8.55
2008-06-18,19.0,19.0,17.16,17.3,824600,7.78
2008-06-19,17.25,17.45,15.41,15.79,1205800,7.1
2008-06-20,17.7,19.14,17.5,17.88,2935400,8.04
2008-06-23,17.72,18.6,16.44,16.49,998000,7.41
2008-06-24,16.4,17.14,16.33,16.34,797000,7.34
2008-06-25,16.43,17.46,16.29,16.77,622000,7.54
2008-06-26,16.53,16.93,16.33,16.85,415400,7.57
2008-06-27,16.76,16.9,15.25,15.43,1476000,6.94
2008-06-30,15.5,15.74,14.68,14.86,692000,6.68
2008-07-01,14.75,15.62,14.75,15.33,554200,6.89
2008-07-02,15.57,16.07,15.48,15.57,729800,7.0
2008-07-03,15.65,16.11,15.65,15.95,368600,7.17
2008-07-07,15.95,16.39,13.81,14.14,1016400,6.36
2008-07-08,14.46,16.05,14.3,15.87,719000,7.13
2008-07-09,15.9,16.5,15.85,16.06,860800,7.22
2008-07-10,16.8,17.75,16.0,16.4,1540800,7.37
2008-07-11,16.04,18.22,16.04,18.03,1909800,8.1
2008-07-14,18.06,18.5,17.17,17.2,1210000,7.73
2008-07-15,17.02,17.71,16.31,16.86,1155600,7.58
2008-07-16,16.94,17.96,16.9,17.22,849600,7.74
2008-07-17,17.95,19.47,17.0,19.3,782200,8.67
2008-07-18,19.29,19.65,18.52,19.06,408600,8.57
2008-07-21,19.21,19.6,18.59,19.33,431800,8.69
2008-07-22,19.35,20.12,18.5,20.1,647000,9.03
2008-07-23,19.77,21.01,19.24,20.55,425000,9.3
2008-07-24,20.69,21.82,19.68,19.88,340400,8.99
2008-07-25,20.17,20.55,19.69,20.16,403000,9.12
2008-07-28,20.17,20.67,19.42,19.58,370600,8.86
2008-07-29,19.7,20.9,19.7,20.47,428200,9.26
2008-07-30,20.99,20.99,19.77,20.64,286000,9.34
2008-07-31,20.69,20.69,20.4,20.5,238400,9.27
2008-08-01,20.61,20.92,20.1,20.58,219400,9.31
2008-08-04,20.61,20.74,20.01,20.61,383600,9.32
2008-08-05,20.71,20.93,20.0,20.67,516200,9.35
2008-08-06,20.67,21.45,20.27,21.31,370000,9.64
2008-08-07,20.99,21.38,20.42,21.07,241200,9.53
2008-08-08,21.27,21.89,21.1,21.55,252800,9.75
2008-08-11,21.46,24.48,21.46,23.62,587200,10.69
2008-08-12,23.4,23.87,22.85,23.43,402600,10.6
2008-08-13,23.26,23.81,22.76,23.16,336600,10.48
2008-08-14,22.89,23.53,22.68,23.42,144000,10.6
2008-08-15,23.7,23.8,23.13,23.36,167600,10.57
2008-08-18,22.82,23.06,22.22,22.57,119400,10.21
2008-08-19,22.37,22.84,21.23,21.98,256800,9.94
2008-08-20,22.06,22.19,20.42,20.62,411000,9.33
2008-08-21,20.54,21.0,20.34,20.39,260200,9.22
2008-08-22,20.71,21.02,20.44,20.75,161000,9.39
2008-08-25,20.75,21.3,20.62,21.07,220000,9.53
2008-08-26,21.05,21.88,21.04,21.45,347600,9.7
2008-08-27,21.39,21.61,21.11,21.54,388400,9.74
2008-08-28,21.76,22.31,21.38,22.26,211000,10.07
2008-08-29,22.07,22.61,21.95,22.37,137600,10.12
2008-09-02,22.67,24.21,22.67,24.21,304600,10.95
2008-09-03,24.22,26.04,23.78,25.57,489800,11.57
2008-09-04,25.26,25.46,24.73,24.99,397600,11.31
2008-09-05,24.78,25.47,24.13,25.22,383800,11.41
2008-09-08,26.24,27.22,25.51,27.1,546800,12.26
2008-09-09,26.87,27.89,26.42,26.79,473200,12.12
2008-09-10,27.06,27.37,26.02,26.78,359600,12.12
2008-09-11,26.65,26.65,25.64,26.35,300400,11.92
2008-09-12,26.26,27.38,25.55,27.23,233200,12.32
2008-09-15,25.82,27.4,25.2,27.21,303600,12.31
2008-09-16,26.08,28.1,26.07,27.73,444400,12.54
2008-09-17,27.04,27.96,26.6,27.23,360200,12.32
2008-09-18,27.9,32.91,26.33,30.94,1932200,14.0
2008-09-19,36.51,36.8,29.51,30.9,1187800,13.98
2008-09-22,31.0,31.05,27.37,27.7,293800,12.53
2008-09-23,27.35,30.61,26.39,26.39,289600,11.94
2008-09-24,26.46,27.24,25.95,25.97,204800,11.75
2008-09-25,26.0,27.0,25.94,25.94,215000,11.74
2008-09-26,25.97,26.5,25.75,26.0,247600,11.76
2008-09-29,25.52,26.75,24.7,25.01,121600,11.31
2008-09-30,27.09,27.9,25.03,27.0,289600,12.21
2008-10-01,26.94,28.0,26.94,27.53,89200,12.45
2008-10-02,27.5,28.46,27.29,27.76,136800,12.56
2008-10-03,28.49,30.0,27.5,27.94,130000,12.64
2008-10-06,26.62,29.7,26.62,28.09,211400,12.71
2008-10-07,28.13,28.74,25.51,26.68,139000,12.07
2008-10-08,25.66,27.1,24.0,24.32,237400,11.0
2008-10-09,24.92,25.12,20.85,20.85,373200,9.43
2008-10-10,20.38,24.43,20.0,23.77,387600,10.75
2008-10-13,25.23,25.23,23.46,25.02,356800,11.32
2008-10-14,26.09,26.8,25.08,26.29,310000,11.89
2008-10-15,26.03,28.93,26.03,27.63,632800,12.5
2008-10-16,28.32,30.12,27.56,29.99,631600,13.57
2008-10-17,30.49,30.95,28.46,28.57,390000,12.92
2008-10-20,28.82,29.64,28.57,29.0,270600,13.12
2008-10-21,28.37,29.22,28.26,28.55,216000,12.92
2008-10-22,28.31,29.0,27.98,28.44,379000,12.92
2008-10-23,28.05,28.44,27.31,27.87,285000,12.67
2008-10-24,26.22,29.1,25.06,28.26,372800,12.84
2008-10-27,27.47,29.18,27.47,28.32,167400,12.87
2008-10-28,29.32,29.85,28.66,29.28,700800,13.31
2008-10-29,29.32,30.66,29.18,29.82,818400,13.55
2008-10-30,30.15,30.92,29.92,30.45,620800,13.84
2008-10-31,30.09,30.67,29.59,30.4,599200,13.82
2008-11-03,30.2,30.97,29.72,30.29,546200,13.77
2008-11-04,30.29,32.44,29.77,32.34,833600,14.7
2008-11-05,31.86,33.24,31.4,32.36,788600,14.71
2008-11-06,31.67,32.61,29.98,30.91,1157800,14.05
2008-11-07,31.67,31.8,30.71,31.25,515800,14.2
2008-11-10,31.83,32.0,30.57,31.02,551800,14.1
2008-11-11,30.57,31.81,30.27,30.3,458200,13.77
2008-11-12,30.09,30.48,29.18,29.42,739000,13.37
2008-11-13,29.73,30.68,28.67,30.62,444800,13.92
2008-11-14,29.95,30.69,28.06,28.07,464800,12.76
2008-11-17,27.84,28.38,26.95,27.02,397800,12.28
2008-11-18,27.27,28.92,25.2,25.98,399800,11.81
2008-11-19,25.78,26.72,25.26,25.42,344400,11.55
2008-11-20,25.36,26.71,25.18,25.41,487200,11.55
2008-11-21,25.93,26.2,24.69,25.58,751800,11.63
2008-11-24,25.47,26.99,25.47,26.36,466800,11.98
2008-11-25,26.94,27.54,25.99,27.35,302800,12.43
2008-11-26,27.17,28.21,26.58,27.84,256200,12.65
2008-11-28,27.58,28.02,26.61,27.22,68400,12.37
2008-12-01,26.57,27.07,24.1,24.43,388600,11.1
2008-12-02,24.95,26.21,24.73,25.89,315800,11.77
2008-12-03,24.93,27.0,24.89,26.19,195800,11.9
2008-12-04,25.68,27.34,25.32,25.73,344600,11.69
2008-12-05,25.41,27.96,24.62,27.8,326200,12.63
2008-12-08,28.16,28.16,26.62,28.05,413600,12.75
2008-12-09,27.74,29.0,27.54,27.61,466600,12.55
2008-12-10,27.82,28.3,26.48,27.26,239800,12.39
2008-12-11,26.94,27.75,25.05,25.57,306200,11.62
2008-12-12,25.23,27.02,25.05,27.02,139800,12.28
2008-12-15,27.11,27.11,25.41,25.92,143400,11.78
2008-12-16,26.34,26.94,26.01,26.86,167200,12.21
2008-12-17,26.48,27.97,26.48,27.66,159600,12.57
2008-12-18,28.17,28.24,26.86,27.04,184600,12.29
2008-12-19,27.43,27.7,26.06,26.2,251200,11.91
2008-12-22,26.17,26.87,25.97,26.6,210600,12.09
2008-12-23,26.85,27.42,25.92,26.57,86600,12.08
2008-12-24,26.59,26.61,26.01,26.58,63200,12.08
2008-12-26,26.9,27.47,25.71,27.26,53400,12.39
2008-12-29,27.3,27.94,26.63,26.68,245800,12.13
2008-12-30,26.97,28.01,26.37,28.01,242000,12.73
2008-12-31,28.18,30.02,27.79,29.64,403200,13.47
2009-01-02,29.71,29.99,29.19,29.49,269400,13.4
2009-01-05,29.77,29.77,28.73,29.29,166000,13.31
2009-01-06,29.57,29.99,28.94,29.26,163400,13.3
2009-01-07,29.0,29.32,26.99,27.31,236000,12.41
2009-01-08,27.42,27.73,25.8,25.81,259800,11.73
2009-01-09,25.58,26.09,22.8,23.57,1122600,10.71
2009-01-12,23.53,24.14,23.35,23.38,511200,10.63
2009-01-13,23.21,24.1,23.08,23.7,505000,10.77
2009-01-14,23.5,24.09,22.65,23.3,729400,10.59
2009-01-15,23.35,24.08,22.78,22.9,852400,10.41
2009-01-16,23.83,24.66,20.63,21.45,1123000,9.75
2009-01-20,21.45,21.48,19.53,20.41,823000,9.28
2009-01-21,21.1,22.73,20.39,22.64,716800,10.29
2009-01-22,22.05,23.11,21.39,22.06,449600,10.03
2009-01-23,21.57,21.91,20.95,21.46,447600,9.75
2009-01-26,21.38,22.63,21.05,21.39,386600,9.72
2009-01-27,21.34,21.99,21.34,21.98,185600,9.99
2009-01-28,22.36,23.63,22.3,23.63,398000,10.8
2009-01-29,23.34,23.34,22.41,22.41,465800,10.25
2009-01-30,22.52,23.0,22.39,22.69,238200,10.37
2009-02-02,22.38,23.06,21.85,22.75,212400,10.4
2009-02-03,22.74,23.15,21.76,22.02,450600,10.07
2009-02-04,22.09,22.4,21.44,21.88,176400,10.0
2009-02-05,21.69,23.35,21.46,23.02,215600,10.52
2009-02-06,22.93,24.13,22.93,23.86,430400,10.91
2009-02-09,23.71,23.95,22.92,23.31,219400,10.66
2009-02-10,23.26,23.51,21.52,21.82,201400,9.98
2009-02-11,21.99,23.6,21.44,22.2,183400,10.15
2009-02-12,22.03,22.94,22.0,22.78,563400,10.41
2009-02-13,22.73,22.74,22.05,22.17,457200,10.14
2009-02-17,21.99,22.25,21.26,21.29,413000,9.73
2009-02-18,21.67,21.7,20.01,20.12,352600,9.2
2009-02-19,20.39,20.6,19.37,19.45,231400,8.89
2009-02-20,19.26,19.43,17.52,18.82,517600,8.6
2009-02-23,18.96,19.38,18.62,18.99,297000,8.68
2009-02-24,19.14,19.82,18.64,19.62,377200,8.97
2009-02-25,19.56,20.11,18.56,19.5,275800,8.91
2009-02-26,19.58,21.65,19.47,20.72,304600,9.47
2009-02-27,20.42,21.61,19.96,20.75,264200,9.49
2009-03-02,20.49,21.77,20.48,20.86,291800,9.54
2009-03-03,21.0,21.53,19.87,19.97,404400,9.13
2009-03-04,20.27,21.27,18.78,19.68,401400,9.0
2009-03-05,19.38,19.38,17.97,18.09,292600,8.27
2009-03-06,18.2,18.52,16.7,17.05,562000,7.79
2009-03-09,16.86,17.52,16.74,17.16,372000,7.84
2009-03-10,17.44,19.07,17.21,18.72,257800,8.56
2009-03-11,18.76,19.71,18.37,18.97,304400,8.67
2009-03-12,18.95,21.67,18.95,21.4,258200,9.78
2009-03-13,21.52,21.52,19.83,21.32,235400,9.75
